path,transcript,English Translation
/sample0001.wav,سڵاو,Hello
/sample0002.wav,چونیت؟,How Are You?
/sample0003.wav,چونی؟,How Are You?
/sample0004.wav,باشم,I'm Fine
/sample0005.wav,باش,Good
/sample0006.wav,باش نیم,I'm Not Good
/sample0007.wav,سوپاس,Thanks
/sample0008.wav,سپاس,Thanks
/sample0009.wav,ئەی تۆ چۆنی؟,and how are you?
/sample0010.wav,ئەی تۆ؟,and you?
/sample0011.wav,ئەی تۆ چۆنیت؟,and how are you?
/sample0012.wav,تۆ,you
/sample0013.wav,من,I
/sample0014.wav,من باشم,I'm Fine
/sample0015.wav,منیش,Me too
/sample0016.wav,منیش باشم سوپاس,"I'm also good, thanks"
/sample0017.wav,خۆشحاڵم بە ناسینت,Nice to meet you
/sample0018.wav,خۆشحاڵم,Glad
/sample0019.wav,منیش خۆشحاڵم,I'm also glad
/sample0020.wav,زۆر سوپاس,Thank you so much
/sample0021.wav,پیاو,man
/sample0022.wav,پیاوان,men
/sample0023.wav,شاخ,mountain
/sample0024.wav,شاخان,mountains
/sample0025.wav,نامه,letter
/sample0026.wav,نامان,letters
/sample0027.wav,پیاڵە,glass cup
/sample0028.wav,پیاڵان,glass cups
/sample0029.wav,فڕۆکە,airplane
/sample0030.wav,فڕۆکان,airplanes
/sample0031.wav,ئاڵا,flag
/sample0032.wav,ئاڵایان,flags
/sample0033.wav,کۆمەڵگا,society
/sample0034.wav,کۆمەڵگایان,societies
/sample0035.wav,مراوی,duck
/sample0036.wav,مراویان,ducks
/sample0037.wav,جوان,beautiful
/sample0038.wav,جوانتر,more beautiful
/sample0039.wav,جوانترین,most beautiful
/sample0040.wav,گەورە,big
/sample0041.wav,گەورەتر,bigger
/sample0042.wav,گەورەترین,biggest
/sample0043.wav,بەتەمەن,old
/sample0044.wav,بەتەمەنتر,older
/sample0045.wav,بەتەمەنترین,oldest
/sample0046.wav,ئاڵاکە,the flag
/sample0047.wav,هەرمێ,pear
/sample0048.wav,هەرمێ کە,the pear
/sample0049.wav,سەیارە,car
/sample0050.wav,سەیارەکە,the car
/sample0051.wav,کتێب,book
/sample0052.wav,کتێبەکە,the book
/sample0053.wav,پیاوەکە,the man
/sample0054.wav,ئاڵاکان,the flags
/sample0055.wav,کتێبەکان,the books
/sample0056.wav,من,I
/sample0057.wav,تۆ,You
/sample0058.wav,ئەو,He
/sample0059.wav,ێمە,We
/sample0060.wav,ێوە,You
/sample0061.wav,ئەوان,They
/sample0062.wav,من دکتۆرم,I'am a doctor
/sample0063.wav,تۆ مامۆستای,you are a teacher
/sample0064.wav,ئەو نەخۆشه,He/She is sick
/sample0065.wav,کتێبەکەم,My book
/sample0066.wav,سەیارەکەت,Your car
/sample0067.wav,چاکەتەکەی,His/Her jacket
/sample0068.wav,مامۆستاکەیان,Their teacher
/sample0069.wav,مراوی یەک,a duck
/sample0070.wav,کتێبێک,a book
/sample0071.wav,سەیارەم هەیە,I have car
/sample0072.wav,سەیارەم نییە,I don't have car
/sample0073.wav,هەیە,I have
/sample0074.wav,نییە,I don't have
/sample0075.wav,کتێبە,is book
/sample0076.wav,ماسی یە,is fish
/sample0077.wav,گەرمه,is hot
/sample0078.wav,ساردە,is cold
/sample0079.wav,جوانە,is beatiful
/sample0080.wav,نانەکە گەرمە,the bread is hot
/sample0081.wav,شاخەکە بەرزە,the mountain is high
/sample0082.wav,گوڵەکە جوانە,the flower is beautiful
/sample0083.wav,کردن,to do
/sample0084.wav,خواردن,to eat
/sample0085.wav,شۆردن,to wash
/sample0086.wav,فڕین,to fly
/sample0087.wav,خواردنەوە,to drink
/sample0088.wav,بردنەوە,to win
/sample0089.wav,مانەوە,to stay
/sample0090.wav,جوڵانەوە,to move
/sample0091.wav,کات,time
/sample0092.wav,کاتژمێر,hour
/sample0093.wav,کاتژمێر جەندە؟,what time is it?
/sample0094.wav,کاتژمێر جەنە؟,what time is it?
/sample0095.wav,سەعات جەنە؟,what time is it?
/sample0096.wav,سەعات جەندە؟,what time is it?
/sample0097.wav,یه‌ک,1
/sample0098.wav,دو,2
/sample0099.wav,سێ,3
/sample0100.wav,چوار,4
/sample0101.wav,پێنج,5
/sample0102.wav,شەش,6
/sample0103.wav,حەوت,7
/sample0104.wav,هەشت,8
/sample0105.wav,نۆ,9
/sample0106.wav,ده,10
/sample0107.wav,یانزە,11
/sample0108.wav,دوانزە,12
/sample0109.wav,سەعات پێنجە؟,It's 5:00
/sample0110.wav,کاتژمێر پێنجە؟,It's 5:00
/sample0111.wav,نیو,half
/sample0112.wav,پێنج و نیو,half past 5
/sample0113.wav,چارەک,quarter
/sample0114.wav,پێنج و چارەک,quarter past 5
/sample0115.wav,خولەک,minute
/sample0116.wav,دەقە,minute
/sample0117.wav,پێنج و دە دەقە,It's 5 and 10 minute
/sample0118.wav,سەعات پێنج و دە دەقە,It's 5 and 10 minute
/sample0119.wav,کاتژمێر پێنج و دە خولەک,It's 5 and 10 minute
/sample0120.wav,زۆر باشە,very good
/sample0121.wav,چرکە,second
/sample0122.wav,سانیە,second
/sample0123.wav,ڕوژ,day
/sample0124.wav,مانگ,month
/sample0125.wav,هەفتە,week
/sample0126.wav,ساڵ,year
/sample0127.wav,بیست و یه‌ک ساڵم,I'am twenty one year old
/sample0128.wav,بیست و دو ساڵم,I'am twenty two year old
/sample0129.wav,مانگی یەک,January
/sample0130.wav,مانگی دو,February
/sample0131.wav,مانگی سێ,March
/sample0132.wav,مانگی چوار,April
/sample0133.wav,مانگی پێنج,May
/sample0134.wav,بیست و یه‌کی شەش,2025-06-21 00:00:00
/sample0135.wav,کەی لەدایک بویت؟,when were you born?
/sample0136.wav,سیانزەی یانزە,2025-11-13 00:00:00
/sample0137.wav,سیانزەی یانزە لەدایک بون,I born in 13-Nov
/sample0138.wav,ڕۆژی لەدایکبونت کەیە؟,When is your birthday?
/sample0139.wav,ئەمڕۆ,today
/sample0140.wav,شەو,night
/sample0141.wav,ئەمشەو,tonight
/sample0142.wav,بەیانی,morning
/sample0143.wav,سبەینێ,tommorow
/sample0144.wav,سبەی,tommorow
/sample0145.wav,دوێنی,yesterday
/sample0146.wav,پێرێ,a day before yesterday
/sample0147.wav,بەسر پێرێ,a two days ago
/sample0148.wav,تەمەن,
/sample0149.wav,ئەی تەمەنی پڕ ئەسرینم,
/sample0150.wav,ئەڕۆی ئاور نادەیتەوە,
/sample0151.wav,لەگەڵ هەمو هەنگاوێکتا,
/sample0152.wav,لە عمری من ئەسڕیتەوە,
/sample0153.wav,خۆزگە منیشوەک پەپولە,
/sample0154.wav,گشت تەمەنم وەرزێک بوایە,
/sample0155.wav,دور لەخەم و تاڵی ژیان,
/sample0156.wav,تەنیا گوڵم بناسیایا,
/sample0157.wav,ڕێگام سەودای تەنیاییەو,
/sample0158.wav,کەسێک نایە بۆ سەردانم,
/sample0159.wav,ئیترچی بکەم لەم تەمەنە,
/sample0160.wav,کەلە هەموی پەشیمانم,
/sample0161.wav,لەگریانی منداڵیما,
/sample0162.wav,پێکەنینم بەخەم دەهات,
/sample0163.wav,کەچی ێستا خەم دەریایەو,
/sample0164.wav,بۆکەنارم شە پۆڵ ئەدات,
/sample0165.wav,لە سەد جارا تەنیا جارێ رەردەخەنە دێتە میوان,
/sample0166.wav,وەک سێبەری لای ێوارەی,
/sample0167.wav,خۆرنشینی لای ئەرخەوان,
/sample0168.wav,ئەی هاوڕێیان چاوم نوقمی نیگارێکی پڕ بەهارە,
/sample0169.wav,تاسەم وەری بەڵام هێشتا خۆشەویستیم هەر بێدارە,
/sample0170.wav,ێستاش گەڵای عومری گەنجیم,
/sample0171.wav,وەک پایز هەڵوەریوە,
/sample0172.wav,کێ وەکو من تەم و خومار,
/sample0173.wav,پەنجەرەکەی داپۆشیوە,
/sample0174.wav,لێم مەپرسە بۆ چی ئەمرۆ ژورەکەم وا رازاوەییە,
/sample0175.wav,ئەمرۆ باخچەی حەوشەکەشمان زۆر بۆن خۆش و گەشاوەییە,
/sample0176.wav,میوانێکی ئازیزم دێ وەک گیانم خۆشم ویستوە,
/sample0177.wav,ئەی نابینی فەرشی رۆحم بۆ پێشوازی راخستوە,
/sample0178.wav,ئەو رۆژانەی کە دێ ی بۆ لام,
/sample0179.wav,دیدەم رون و پر نورە بێت,
/sample0180.wav,خۆشەویستمیم نەک هەر بۆتۆ,
/sample0181.wav,بۆ عالەم بێ سنورە بێت,
/sample0182.wav,چاوەکانم پڕ گریانن,
/sample0183.wav,ماوەیەکە خۆ دەزانم,
/sample0184.wav,گوڵم تۆ بۆچی دیار نەبوی,
/sample0185.wav,وەری گوڵی باخی ژیانم,
/sample0186.wav,خۆ لەبیرمە بۆ چەن ساتێک,
/sample0187.wav,خەوم نەبو بۆ جوانی تۆ,
/sample0188.wav,ڕۆژگاریشم وەکو شەو بو,
/sample0189.wav,کە نەم ئەدی باڵاکەی تۆ,
/sample0190.wav,یادەکانم دوای دابڕان,
/sample0191.wav,مەنتی دوری و جودای بو,
/sample0192.wav,بۆ نازداری و دڵ سۆزی تۆ,
/sample0193.wav,چاوم وەکو ڕوبارێ بو,
